title,description,category
"新闻稿/论文改写","作为资深编辑，将指定文本转换为[学术/营销]风格（控制[800-1200]字），需保留[3个]核心数据，替换[50%]连接词，附可读性评分报告","writing"
"爆款标题生成","基于[科技/情感]领域最新爆文数据库（截止2023Q3），产出[20个]标题方案，要求含数字+情绪词+悬念结构，标注CTR预测值","writing"
"多语种本地化","将[产品说明书]译为[阿拉伯语/日语]，保留条款编号系统，适配[伊斯兰/二次元]文化禁忌，输出对照表（含高风险术语说明）","writing"
"剧本分镜设计","为[悬疑/科普]主题短视频（[1-3]分钟）创建分镜脚本，包含[5个]特效标注、[3种]运镜方案、[2版]台词变体（含情绪标注）","writing"
"异常检测系统","对[销售数据]执行箱线图+聚类分析，识别[3个]异常月份，构建多维归因模型（含天气/竞品/促销变量），输出诊断报告（置信度＞95%）","data"
"预测模型构建","使用[ARIMA/Prophet]处理[时间序列]数据（2018-2023），预测[2024Q1]趋势，输出[3种]可视化方案（含置信区间），模型RMSE＜0.15","data"
"用户画像工程","基于[RFM+CLV]模型细分[10万]用户群体，生成[8类]人物卡（含消费偏好图谱），设计[5种]精准营销策略（附ROI预估）","data"
"文本情感挖掘","分析[1万条]评论数据（中/英文），构建[5维]情感指数，输出动态词云（含情绪热力变化曲线），识别[3个]突发舆情事件（置信度＞90%）","data"
"代码迁移专家","将[Java]代码转换为[Go]语言（处理≥5个核心类），保持并发逻辑一致性，输出对照表（含[10个]语法差异注释），性能提升要求≥20%","programming"
"安全审计系统","扫描[Python]项目（≥1万行），识别[OWASP Top 10]漏洞，输出CVSS评分报告，提供[3种]修复方案（含向后兼容性说明）","programming"
"文档自动化","解析[C++/Rust]项目结构，生成Doxygen格式API文档（含[20个]调用示例），创建交互式沙盒环境（支持在线调试）","programming"
"算法优化","重构[排序算法]实现（数据集≥1GB），将时间复杂度从O(n²)降至O(n log n)，输出性能对比图（内存/CPU使用率）","programming"
"旅游规划师","设计[东京]5日深度游（预算[8000元]），包含[动漫/美食]主题路线，输出PDF手册（含应急联络表+地铁线路图）","life"
"健康管理","解析[体检报告]（含[血常规/CT]数据），生成可视化趋势图（近3年对比），提供[5条]定制化改善建议","life"
"法律文书","审核[租房合同]（[北京]地区），标注[10个]风险条款，提供替代文案（符合《民法典》第[704]条）","life"
"膳食计划","制定[糖尿病]患者周食谱（每日＜1800大卡），输出营养元素平衡表（蛋白质/碳水/脂肪占比）","life"
"科幻设定","构建[火星殖民地]社会体系（含[3种]新职业+[5条]星际法律），输出世界观百科（≥5000字）","creative"
"产品设计","发明[智能宠物项圈]（整合[健康监测/防丢]功能），输出3D模型图（含[10个]技术专利点说明）","creative"
"营销事件","策划[新能源汽车]跨界营销（联动[电竞/元宇宙]），设计[3阶段]传播路线（预热→引爆→长尾）","creative"
"艺术融合","将[量子纠缠]理论转化为现代舞剧本（含[5个]核心意象），设计舞台投影方案","creative" 
