异常检测系统,对[销售数据]执行箱线图+聚类分析，识别[3个]异常月份，构建多维归因模型（含天气/竞品/促销变量），输出诊断报告（置信度＞95%）
预测模型构建,使用[ARIMA/Prophet]处理[时间序列]数据（2018-2023），预测[2024Q1]趋势，输出[3种]可视化方案（含置信区间），模型RMSE＜0.15
用户画像工程,基于[RFM+CLV]模型细分[10万]用户群体，生成[8类]人物卡（含消费偏好图谱），设计[5种]精准营销策略（附ROI预估）
文本情感挖掘,分析[1万条]评论数据（中/英文），构建[5维]情感指数，输出动态词云（含情绪热力变化曲线），识别[3个]突发舆情事件（置信度＞90%）
实验设计助手,为[A/B测试]创建[双盲]方案（样本量≥5000），计算[5个]核心指标的统计显著性（p<0.01），设计[3阶段]逐步放量策略
地理数据可视化,将[物流数据]映射至Mapbox，创建[热力图+流向图]交互仪表盘，标注[10个]关键枢纽节点，计算最优路径（节约成本≥15%）
问卷智能分析,清洗[2000份]调研数据（缺失值<5%），执行信效度检验（Cronbach's α>0.7），生成交叉分析表（含[10个]深度洞察），输出SPSS语法文件
风险预警系统,构建[财务欺诈]检测模型（使用XGBoost），特征工程包含[20个]衍生变量，输出特征重要性排序，设置[3级]风险阈值（F1>0.85）
实时看板搭建,连接[MySQL/API]数据源，创建[5个]动态图表（含预警阈值），设计移动端自适应布局，设置[每小时]自动刷新机制（延迟<1分钟）
因果推理引擎,使用Pearson+格兰杰检验分析[教育投入/GDP]关系，排除[3个]混淆变量，构建DAG因果图（含[5个]中介路径），输出政策建议白皮书 
